"","year","brand","superbowl_ads_dot_com_url","youtube_url","funny","show_product_quickly","patriotic","celebrity","danger","animals","use_sex","duration","cost"
"1",2018,"Toyota","https://superbowl-ads.com/good-odds-toyota/","https://www.youtube.com/watch?v=zeBZvwYQ-hA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,134,20941516
"2",2020,"Bud Light","https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/","https://www.youtube.com/watch?v=nbbp0VW7z8w",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,60,10800000
"3",2006,"Bud Light","https://superbowl-ads.com/2006-bud-light-bear-attack/","https://www.youtube.com/watch?v=yk0MQD5YgV8",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,33,2500000
"4",2018,"Hynudai","https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/","https://www.youtube.com/watch?v=lNPccrGk77A",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65,10470758
"5",2020,"Toyota","https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/","https://www.youtube.com/watch?v=f34Ji70u3nk",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,68,10800000
"6",2020,"Coca-Cola","https://superbowl-ads.com/2020-coca-cola-energy-show-up/","https://www.youtube.com/watch?v=-gAZRN3SCBw",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,60,10800000
"7",2020,"Kia","https://superbowl-ads.com/2020-kia-tough-never-quits/","https://www.youtube.com/watch?v=lMs79UXam9A",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60,10800000
"8",2020,"Hynudai","https://superbowl-ads.com/2020-hyundai-smaht-pahk/","https://www.youtube.com/watch?v=WBvkmWDjsYc",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,80,16200000
"9",2020,"Budweiser","https://superbowl-ads.com/2020-budweiser-typical-american/","https://www.youtube.com/watch?v=J0xugdotpp8",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,60,10800000
"10",2010,"Hynudai","https://superbowl-ads.com/hd-2010-super-bowl-commercial-new-hyundai-super-bowl-44-xliv-ad-hyundai-body-pass-2011-sonata/","https://www.youtube.com/watch?v=dWQqIeAYfK8",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,32,2800000
"11",2010,"Bud Light","https://superbowl-ads.com/hd-exclusive-bud-light-scientist-2010-superbowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=agISXMN4tng",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,30,2800000
"12",2007,"Budweiser","https://superbowl-ads.com/2007-budweiser-king-crab/","https://www.youtube.com/watch?v=7KHlMJE84eA",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,30,2385365
