"date","brand","hits","is_sup_week","is_sup_year"
"2004-01-04","Toyota",84,FALSE,TRUE
"2004-01-11","Toyota",84,FALSE,TRUE
"2004-01-18","Toyota",88,FALSE,TRUE
"2004-01-25","Toyota",80,FALSE,TRUE
"2004-02-01","Toyota",73,TRUE,TRUE
"2004-02-08","Toyota",73,FALSE,TRUE
"2004-02-15","Toyota",84,FALSE,TRUE
"2004-02-22","Toyota",85,FALSE,TRUE
"2004-02-29","Toyota",85,FALSE,TRUE
"2004-03-07","Toyota",94,FALSE,TRUE
"2004-03-14","Toyota",87,FALSE,TRUE
"2004-03-21","Toyota",95,FALSE,TRUE
"2004-03-28","Toyota",86,FALSE,TRUE
"2004-04-04","Toyota",87,FALSE,TRUE
"2004-04-11","Toyota",80,FALSE,TRUE
"2004-04-18","Toyota",85,FALSE,TRUE
"2004-04-25","Toyota",84,FALSE,TRUE
"2004-05-02","Toyota",88,FALSE,TRUE
"2004-05-09","Toyota",87,FALSE,TRUE
"2004-05-16","Toyota",96,FALSE,TRUE
"2004-05-23","Toyota",97,FALSE,TRUE
"2004-05-30","Toyota",90,FALSE,TRUE
"2004-06-06","Toyota",90,FALSE,TRUE
"2004-06-13","Toyota",96,FALSE,TRUE
"2004-06-20","Toyota",100,FALSE,TRUE
"2004-06-27","Toyota",94,FALSE,TRUE
"2004-07-04","Toyota",88,FALSE,TRUE
"2004-07-11","Toyota",94,FALSE,TRUE
"2004-07-18","Toyota",94,FALSE,TRUE
"2004-07-25","Toyota",91,FALSE,TRUE
"2004-08-01","Toyota",94,FALSE,TRUE
"2004-08-08","Toyota",92,FALSE,TRUE
"2004-08-15","Toyota",90,FALSE,TRUE
"2004-08-22","Toyota",90,FALSE,TRUE
"2004-08-29","Toyota",89,FALSE,TRUE
"2004-09-05","Toyota",84,FALSE,TRUE
"2004-09-12","Toyota",82,FALSE,TRUE
"2004-09-19","Toyota",86,FALSE,TRUE
"2004-09-26","Toyota",82,FALSE,TRUE
"2004-10-03","Toyota",81,FALSE,TRUE
"2004-10-10","Toyota",79,FALSE,TRUE
"2004-10-17","Toyota",82,FALSE,TRUE
"2004-10-24","Toyota",76,FALSE,TRUE
"2004-10-31","Toyota",72,FALSE,TRUE
"2004-11-07","Toyota",81,FALSE,TRUE
"2004-11-14","Toyota",77,FALSE,TRUE
"2004-11-21","Toyota",82,FALSE,TRUE
"2004-11-28","Toyota",75,FALSE,TRUE
"2004-12-05","Toyota",66,FALSE,TRUE
"2004-12-12","Toyota",76,FALSE,TRUE
"2004-12-19","Toyota",82,FALSE,TRUE
"2004-12-26","Toyota",98,FALSE,TRUE
"2005-01-02","Toyota",68,FALSE,FALSE
"2005-01-09","Toyota",74,FALSE,FALSE
"2005-01-16","Toyota",76,FALSE,FALSE
"2005-01-23","Toyota",72,FALSE,FALSE
"2005-01-30","Toyota",71,FALSE,FALSE
"2005-02-06","Toyota",72,FALSE,FALSE
"2005-02-13","Toyota",77,FALSE,FALSE
"2005-02-20","Toyota",74,FALSE,FALSE
"2005-02-27","Toyota",72,FALSE,FALSE
"2005-03-06","Toyota",79,FALSE,FALSE
"2005-03-13","Toyota",78,FALSE,FALSE
"2005-03-20","Toyota",83,FALSE,FALSE
"2005-03-27","Toyota",80,FALSE,FALSE
